2015-03-04 16:18:01 // Error File: C:\xampp\htdocs\RdG\invuser.php | Error Code: 8 | Error Line: 61 - Undefined index: id_grupo 
2015-03-04 16:18:01 // Error File: C:\xampp\htdocs\RdG\invuser.php | Error Code: 8 | Error Line: 62 - Undefined index: nombre 
2015-03-04 16:18:01 // Error File: C:\xampp\htdocs\RdG\invuser.php | Error Code: 8 | Error Line: 61 - Undefined index: id_grupo 
2015-03-04 16:18:01 // Error File: C:\xampp\htdocs\RdG\invuser.php | Error Code: 8 | Error Line: 62 - Undefined index: nombre 
2015-03-04 16:18:01 // Error File: C:\xampp\htdocs\RdG\invuser.php | Error Code: 8 | Error Line: 61 - Undefined index: id_grupo 
2015-03-04 16:18:01 // Error File: C:\xampp\htdocs\RdG\invuser.php | Error Code: 8 | Error Line: 62 - Undefined index: nombre 
2015-03-04 16:18:12 // Error File: C:\xampp\htdocs\RdG\invuser.php | Error Code: 8 | Error Line: 61 - Undefined index: id_grupo 
2015-03-04 16:18:12 // Error File: C:\xampp\htdocs\RdG\invuser.php | Error Code: 8 | Error Line: 62 - Undefined index: nombre 
2015-03-04 16:18:12 // Error File: C:\xampp\htdocs\RdG\invuser.php | Error Code: 8 | Error Line: 61 - Undefined index: id_grupo 
2015-03-04 16:18:12 // Error File: C:\xampp\htdocs\RdG\invuser.php | Error Code: 8 | Error Line: 62 - Undefined index: nombre 
2015-03-04 16:18:12 // Error File: C:\xampp\htdocs\RdG\invuser.php | Error Code: 8 | Error Line: 61 - Undefined index: id_grupo 
2015-03-04 16:18:12 // Error File: C:\xampp\htdocs\RdG\invuser.php | Error Code: 8 | Error Line: 62 - Undefined index: nombre 
2015-03-04 18:05:28 // Error File: C:\xampp\htdocs\RdG\go_inv.php | Error Code: 8 | Error Line: 26 - Undefined variable: db 
2015-03-04 19:13:00 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 73 - Undefined index: userid 
